Employee ID,Gender,Age,Department,Job Role,Date of Joining,Salary (BGN),Performance Rating,Absenteeism Rate,Engagement Score,Education Level,Years in Current Role,Years at Company,Promotion in Last 2 Years,Overtime Hours per Week,Training Hours per Year,Office Location,Bonus Received in Last Year
4715,Female,48,Product Management,Product Analyst,7/27/2012,7500,4,0.18,4.6,High School,3,12,Yes,19,3,Burgas,Yes
4600,Male,56,Compliance,Data Privacy Specialist,5/21/2011,2700,2,0.38,1.5,Master's,9,13,No,1,64,Plovdiv,Yes
3634,Female,53,Digital Banking,Digital Banking Specialist,7/29/2022,5400,5,0.09,5,Bachelor's,3,2,Yes,5,78,Burgas,Yes
1019,Female,56,Fraud Prevention,Fraud Prevention Manager,04/08/2010,5700,3,0.12,2.6,High School,1,14,Yes,5,62,Varna,No
4866,Male,37,Customer Support,Technical Support Specialist,7/22/2010,6000,4,0.08,3.4,PhD,1,14,No,4,47,Ruse,Yes
3334,Male,54,Loan Servicing,Loan Servicing Specialist,11/29/2021,5400,3,0.19,3.5,High School,3,2,Yes,1,57,Plovdiv,No
7867,Female,35,Business Transformation,Project Manager,10/28/2015,6200,4,0.08,4.3,Master's,3,8,Yes,3,75,Varna,Yes
9838,Male,24,Digital Banking,Online Banking Manager,11/15/2017,5800,3,0.01,3.1,Master's,4,6,No,5,0,Burgas,No
1767,Female,53,Fraud Prevention,Fraud Investigator,3/17/2020,2900,1,0.49,1,High School,5,4,Yes,18,40,Plovdiv,Yes
1430,Female,37,Digital Banking,Digital Banking Specialist,4/16/2021,3700,1,0.39,1.1,Master's,1,3,No,4,69,Sofia,Yes
6487,Female,38,Sales,Sales Consultant,02/02/2016,5700,3,0.15,2.7,Master's,4,8,No,6,10,Varna,Yes
4637,Male,56,Sales,Sales Consultant,2/28/2020,7900,4,0.11,4.4,Bachelor's,2,4,No,17,75,Ruse,Yes
3382,Female,40,Sales,Sales Manager,3/13/2015,5300,2,0.36,1.3,PhD,1,9,No,12,44,Plovdiv,Yes
2541,Male,46,Back Office,Administrative Assistant,04/09/2012,4800,3,0,3,Master's,3,12,No,18,55,Sofia,Yes
7164,Female,56,Sales,Sales Consultant,6/13/2020,8500,5,0.13,4.5,Master's,2,4,Yes,17,64,Plovdiv,Yes
5390,Male,38,Customer Support,Customer Support Representative,7/24/2019,7900,5,0.12,5,Master's,1,5,Yes,2,77,Plovdiv,Yes
6846,Male,35,Marketing,Communications Specialist,07/02/2023,7900,4,0.04,4.7,PhD,3,1,No,12,30,Varna,Yes
4971,Female,53,Finance,Accountant,07/02/2012,8300,5,0.13,5,Master's,3,12,Yes,8,47,Burgas,Yes
4579,Female,37,Product Management,Product Development Specialist,07/07/2014,3900,1,0.44,1.6,High School,9,10,No,7,70,Sofia,No
4696,Male,41,Business Transformation,Change Manager,09/06/2022,2000,1,0.42,1,Master's,7,2,No,9,11,Varna,No
6675,Female,27,Legal,Corporate Lawyer,12/06/2020,4900,2,0.43,1.3,Bachelor's,2,3,No,3,43,Varna,Yes
6166,Male,40,Corporate Banking,Corporate Sales Executive,08/04/2017,7700,5,0.1,5,PhD,1,7,No,1,55,Varna,No
4902,Female,26,Back Office,Back Office Clerk,12/28/2019,5000,1,0.36,1,PhD,2,4,No,9,44,Sofia,Yes
7429,Female,29,Legal,Paralegal,09/12/2013,3800,1,0.48,1,PhD,1,11,No,7,60,Ruse,Yes
2354,Female,26,Compliance,Compliance Officer,3/22/2015,3600,1,0.49,1,Bachelor's,7,9,Yes,18,76,Sofia,Yes
7858,Female,31,Internal Audit,Audit Manager,7/24/2024,5400,4,0.12,3.5,High School,3,0,No,8,6,Plovdiv,Yes
6770,Male,34,Risk Management,Risk Manager,3/20/2015,7000,5,0.11,4.8,Master's,2,9,Yes,10,22,Plovdiv,Yes
9150,Female,45,Business Transformation,Project Manager,04/10/2016,6700,4,0.18,3.9,High School,1,8,Yes,14,49,Ruse,Yes
3079,Male,42,Treasury,Treasury Manager,12/15/2012,8900,3,0.18,3.5,High School,8,11,No,9,35,Burgas,No
4477,Male,54,Mortgage Services,Mortgage Advisor,2/23/2011,5500,4,0.12,3.5,Bachelor's,1,13,No,7,36,Ruse,Yes
2255,Female,31,Customer Support,Technical Support Specialist,8/25/2023,3300,4,0.14,3.9,Bachelor's,3,1,Yes,15,9,Varna,Yes
6183,Female,58,Trade Finance,Trade Finance Specialist,4/22/2023,9400,4,0.01,4.6,High School,2,1,Yes,12,74,Ruse,Yes
6363,Female,34,Internal Audit,Audit Analyst,2/19/2021,2900,1,0.37,1.5,High School,9,3,No,5,60,Ruse,No
9557,Female,48,Wealth Management,Investment Banker,12/13/2018,8200,2,0.21,2.3,PhD,1,5,No,15,67,Varna,Yes
1388,Male,42,Treasury,Treasury Analyst,4/17/2018,8600,5,0.19,5,Bachelor's,1,6,No,1,76,Varna,Yes
6968,Female,49,Mortgage Services,Mortgage Officer,1/16/2018,4600,2,0.21,2.2,Master's,3,6,No,17,42,Ruse,No
4756,Male,52,Back Office,Administrative Assistant,6/18/2017,3500,1,0.46,1.9,Master's,5,7,Yes,18,35,Sofia,Yes
6842,Male,57,Treasury,Treasury Analyst,12/07/2015,4600,3,0.14,2.7,High School,5,8,No,0,10,Plovdiv,Yes
3531,Female,23,Mortgage Services,Mortgage Officer,5/16/2016,5400,3,0.19,3.7,Master's,2,8,Yes,10,69,Ruse,Yes
1255,Male,35,Retail Banking,Service Manager,5/22/2015,4600,4,0.07,4,High School,1,9,No,14,19,Ruse,Yes
6275,Female,35,Compliance,Compliance Analyst,5/14/2024,6900,4,0.09,4.3,PhD,3,0,Yes,9,43,Burgas,Yes
8366,Male,46,Back Office,Back Office Clerk,9/22/2014,3500,2,0.28,2.8,Bachelor's,9,10,No,14,30,Sofia,No
5838,Female,45,Digital Banking,Digital Banking Specialist,5/27/2014,5200,1,0.21,2.1,Master's,4,10,No,0,71,Plovdiv,No
4013,Male,49,Corporate Banking,Relationship Manager,08/11/2012,6500,4,0.18,4.9,Bachelor's,3,12,Yes,6,3,Ruse,No
4586,Female,51,Digital Banking,Digital Banking Specialist,07/02/2013,4200,3,0.07,3.2,PhD,3,11,Yes,7,42,Plovdiv,No
1916,Female,26,Customer Support,Customer Service Manager,8/24/2022,6800,4,0.18,4.4,PhD,3,2,No,16,41,Sofia,Yes
6805,Female,40,Human Resources,HR Manager,2/22/2018,4100,2,0.24,2.1,Bachelor's,3,6,Yes,12,34,Varna,Yes
3363,Male,45,Product Management,Product Analyst,10/21/2013,7000,3,0.1,2.6,Master's,5,10,Yes,3,69,Burgas,No
1948,Female,29,Retail Banking,Teller,11/15/2023,5900,4,0.18,4.3,Master's,2,0,No,14,17,Varna,Yes
4545,Female,26,Finance,Tax Specialist,6/14/2012,7900,4,0.02,3.2,PhD,2,12,No,10,66,Varna,Yes
7761,Female,43,Compliance,Compliance Manager,10/14/2021,3500,1,0.3,1.5,Bachelor's,9,2,No,5,18,Sofia,No
1054,Male,49,Back Office,Back Office Clerk,12/30/2011,8600,5,0.16,4.8,Master's,2,12,Yes,1,74,Burgas,No
2911,Male,24,Retail Banking,Branch Manager,07/07/2016,8000,3,0.09,2.8,High School,3,8,No,15,5,Burgas,No
3823,Female,38,Internal Audit,Audit Analyst,10/27/2015,3400,1,0.48,1.1,Bachelor's,1,8,No,19,65,Ruse,No
7794,Female,54,Finance,Financial Analyst,7/13/2023,7100,3,0.15,1.9,Master's,6,1,No,10,41,Sofia,Yes
2251,Female,30,Human Resources,HR Manager,7/13/2022,4100,2,0.34,2.9,Bachelor's,3,2,No,18,44,Varna,No
4774,Female,42,Business Transformation,Business Analyst,03/02/2018,7700,5,0.09,5,High School,1,6,Yes,16,8,Burgas,Yes
5701,Female,59,Business Transformation,Business Analyst,09/10/2020,8900,4,0.17,4.1,PhD,2,4,Yes,9,35,Burgas,No
1953,Male,24,Human Resources,HR Manager,12/19/2019,5300,2,0.3,2.4,Bachelor's,1,4,No,5,19,Ruse,No
1710,Female,39,Collection,Collection Manager,09/12/2017,7900,4,0,4.3,High School,3,7,No,12,19,Burgas,Yes
8748,Female,35,Corporate Banking,Loan Officer,05/09/2017,8100,5,0.04,5,High School,3,7,Yes,8,18,Sofia,No
9305,Male,52,Loan Servicing,Loan Processor,12/09/2010,3600,1,0.31,1,Master's,7,13,No,5,72,Varna,Yes
1210,Female,32,Finance,Tax Specialist,12/17/2012,7000,5,0.09,4.3,PhD,2,11,Yes,18,23,Varna,Yes
4340,Male,38,Marketing,Marketing Analyst,4/28/2024,1700,2,0.28,2.3,Master's,8,0,No,10,61,Sofia,No
1070,Female,51,Retail Banking,Retail Sales Advisor,01/02/2024,8200,5,0.1,4.5,PhD,2,0,Yes,19,5,Ruse,Yes
2933,Male,31,Internal Audit,Audit Manager,01/01/2022,7200,5,0.2,4.6,Bachelor's,3,2,Yes,16,60,Sofia,Yes
3275,Female,32,Marketing,Marketing Manager,6/25/2019,5300,3,0.1,3.6,Master's,1,5,No,9,68,Plovdiv,Yes
3195,Female,52,Product Management,Product Manager,6/28/2023,4300,1,0.43,1,PhD,3,1,No,17,63,Burgas,Yes
1706,Female,42,Risk Management,Risk Strategy Advisor,9/23/2012,6500,3,0.06,2.3,Master's,1,12,No,14,72,Burgas,Yes
9701,Female,55,Collection,Collection Manager,02/07/2023,9200,5,0.01,5,Bachelor's,2,1,Yes,6,0,Ruse,Yes
6736,Female,30,Collection,Debt Recovery Specialist,7/24/2024,5000,3,0.02,1.6,Bachelor's,5,0,No,13,74,Varna,Yes
7556,Male,28,Wealth Management,Portfolio Manager,9/14/2015,6700,3,0.1,3.6,High School,6,9,Yes,9,17,Plovdiv,No
7133,Female,30,Compliance,Compliance Officer,9/19/2017,8800,3,0.16,1.7,Master's,1,7,No,9,30,Burgas,No
2950,Male,31,Loan Servicing,Loan Servicing Specialist,4/14/2011,5700,3,0.02,3.1,Bachelor's,2,13,No,18,28,Burgas,Yes
9391,Female,38,Customer Support,Customer Service Manager,09/04/2014,7800,5,0.1,4.7,Bachelor's,2,10,Yes,4,26,Burgas,No
1695,Male,40,Back Office,Back Office Clerk,07/10/2018,5400,4,0.17,4.4,Bachelor's,1,6,No,17,65,Plovdiv,Yes
1347,Female,36,Compliance,KYC Specialist,11/08/2020,7100,2,0.42,1.7,High School,2,3,No,5,59,Burgas,No
4610,Female,49,Mortgage Services,Mortgage Underwriter,05/10/2024,4900,2,0.28,2.8,PhD,7,0,No,9,13,Burgas,No
7785,Female,49,Marketing,Marketing Analyst,02/10/2019,6000,4,0.11,3.1,PhD,3,5,Yes,8,24,Sofia,Yes
4065,Male,48,Compliance,Data Privacy Specialist,6/18/2011,2800,2,0.38,1.9,Master's,6,13,No,9,58,Varna,No
3348,Female,28,Corporate Banking,Corporate Sales Executive,2/17/2018,3700,1,0.28,1.4,High School,5,6,No,9,24,Burgas,Yes
6973,Male,51,Treasury,Liquidity Specialist,08/10/2015,6400,3,0.09,2.6,High School,9,9,No,7,64,Varna,Yes
2885,Female,41,Finance,Finance Manager,1/24/2010,7300,5,0.11,4.8,PhD,1,14,No,14,36,Ruse,Yes
3167,Female,36,Back Office,Back Office Manager,10/16/2014,6200,5,0.03,4.6,Master's,2,9,Yes,19,39,Plovdiv,Yes
8707,Male,58,Finance,Tax Specialist,12/20/2012,6800,4,0.12,3.7,Master's,1,11,No,7,46,Ruse,Yes
1179,Female,57,Human Resources,Recruiter,3/31/2018,2600,1,0.44,1.8,PhD,9,6,No,13,32,Varna,Yes
2270,Female,22,Retail Banking,Retail Sales Advisor,12/13/2009,7600,5,0.17,5,Master's,1,14,Yes,13,78,Ruse,Yes
6240,Female,55,Trade Finance,Trade Analyst,1/16/2012,6800,5,0.19,5,Master's,3,12,Yes,6,25,Burgas,Yes
3767,Male,25,Loan Servicing,Loan Processor,1/29/2020,3000,1,0.23,1.3,High School,1,4,Yes,0,58,Plovdiv,Yes
8630,Female,46,Loan Servicing,Loan Underwriter,10/17/2018,4600,3,0.01,2.1,High School,6,5,No,12,43,Sofia,Yes
8638,Female,59,Compliance,Compliance Officer,6/18/2018,5100,3,0.03,2.4,High School,3,6,No,15,78,Plovdiv,No
5455,Male,59,Human Resources,HR Specialist,04/12/2016,6300,4,0.09,4,Master's,1,8,Yes,16,18,Burgas,No
2931,Male,46,Mortgage Services,Mortgage Underwriter,02/09/2017,5500,4,0.2,4.2,High School,1,7,No,4,46,Ruse,Yes
3931,Female,44,Compliance,Compliance Monitoring Officer,7/13/2014,5000,2,0.43,1.4,Bachelor's,2,10,Yes,12,4,Sofia,Yes
8700,Female,23,Risk Management,Regulatory Affairs Specialist,3/24/2020,3300,1,0.45,1,PhD,3,4,No,8,22,Plovdiv,No
7505,Female,49,Mortgage Services,Mortgage Advisor,11/30/2016,8500,1,0.34,1,Master's,6,7,No,4,72,Plovdiv,No
9344,Male,47,Marketing,Marketing Manager,9/18/2010,9500,5,0.13,5,PhD,2,14,Yes,19,46,Varna,Yes
6648,Male,24,Business Transformation,Change Manager,1/13/2020,6500,5,0.02,5,PhD,2,4,No,11,72,Burgas,Yes
1840,Female,29,Sales,Sales Manager,12/22/2020,8800,3,0.07,3,PhD,9,3,No,15,57,Varna,Yes
8822,Male,53,Trade Finance,Trade Analyst,08/02/2021,6400,4,0,4.4,PhD,3,3,Yes,6,69,Varna,No
2649,Male,46,Product Management,Product Manager,11/23/2022,5600,1,0.28,1.5,Master's,5,1,No,6,74,Plovdiv,No
6699,Female,55,Marketing,Marketing Analyst,2/22/2023,8600,5,0.06,4.7,Bachelor's,2,1,No,5,35,Burgas,Yes
6248,Female,28,Human Resources,Recruiter,1/19/2018,5400,1,0.47,1.6,Master's,2,6,No,6,57,Varna,No
1116,Female,53,Digital Banking,Online Banking Manager,12/27/2018,2400,2,0.22,2.3,Master's,2,5,No,17,41,Ruse,No
2239,Female,37,Collection,Debt Recovery Specialist,3/21/2013,5100,2,0.4,1.1,PhD,3,11,Yes,18,40,Plovdiv,No
5001,Female,29,Internal Audit,Audit Manager,11/14/2010,4900,3,0.08,2.8,Bachelor's,4,13,No,10,22,Ruse,Yes
7957,Male,33,Trade Finance,Trade Finance Specialist,7/29/2011,11200,5,0.11,4.6,High School,2,13,Yes,0,53,Sofia,No
8907,Male,58,Wealth Management,Financial Advisor,12/13/2018,7400,3,0.09,2.4,High School,6,5,No,16,45,Plovdiv,No
6742,Female,31,Marketing,Marketing Manager,10/20/2017,6200,3,0.14,2.3,PhD,2,6,No,19,0,Burgas,No
2876,Male,23,Treasury,Liquidity Specialist,3/25/2011,1400,2,0.38,1.9,Bachelor's,2,13,No,17,1,Sofia,Yes
7696,Female,32,Back Office,Back Office Manager,11/21/2017,1400,2,0.5,1,PhD,1,6,Yes,11,28,Ruse,Yes
4352,Female,45,Marketing,Communications Specialist,11/08/2009,7400,3,0.13,3.2,PhD,8,14,Yes,2,5,Varna,Yes
7200,Female,30,Loan Servicing,Loan Underwriter,4/24/2024,4500,3,0.01,2.3,Master's,8,0,Yes,5,35,Ruse,No
3668,Female,26,Security,Cybersecurity Specialist,10/02/2010,4300,1,0.42,1.2,Bachelor's,4,14,No,2,14,Plovdiv,No
1549,Male,29,Back Office,Back Office Manager,5/22/2012,8600,4,0.18,3.5,High School,2,12,Yes,9,9,Sofia,Yes
2879,Female,29,Treasury,Treasury Manager,11/15/2023,6900,4,0.06,4.6,Bachelor's,3,0,No,8,72,Varna,No
8670,Female,41,Back Office,Back Office Clerk,09/09/2013,6800,3,0.06,2.8,Master's,8,11,No,17,13,Varna,Yes
4332,Male,52,Security,Security Officer,08/05/2014,4600,2,0.45,1.9,Bachelor's,3,10,No,4,29,Plovdiv,No
5816,Female,58,Mortgage Services,Mortgage Underwriter,07/06/2015,4200,2,0.32,2.1,Bachelor's,4,9,No,14,16,Varna,No
6789,Male,48,Collection,Collection Manager,01/07/2016,2200,1,0.34,1,Master's,7,8,Yes,14,2,Plovdiv,Yes
7601,Female,34,Loan Servicing,Loan Processor,4/26/2022,4400,1,0.42,1,PhD,5,2,No,17,48,Burgas,Yes
8867,Male,30,IT,System Administrator,11/17/2012,2100,1,0.22,1.5,Bachelor's,7,11,No,18,10,Plovdiv,No
2183,Female,26,Human Resources,HR Manager,12/17/2012,3800,1,0.43,1,Bachelor's,7,11,Yes,17,15,Burgas,No
9255,Female,41,Operations,Operations Analyst,06/02/2024,5100,1,0.43,1,Bachelor's,3,0,No,6,63,Ruse,Yes
8433,Male,51,IT,Software Developer,8/26/2013,8000,4,0.06,4.2,PhD,1,11,Yes,6,19,Varna,Yes
1344,Female,53,Human Resources,HR Specialist,3/28/2015,5100,1,0.48,2.2,Master's,9,9,Yes,15,17,Sofia,No
3136,Male,35,IT,Software Developer,9/29/2013,6300,3,0.13,2.2,Bachelor's,1,11,No,9,32,Plovdiv,No
2714,Male,26,Treasury,Treasury Manager,06/07/2015,5100,3,0.12,3,Bachelor's,6,9,Yes,3,64,Sofia,No
6681,Female,27,Legal,Corporate Lawyer,4/23/2023,7600,4,0.17,4.9,Bachelor's,2,1,No,15,61,Burgas,No
4910,Female,33,Human Resources,HR Manager,8/29/2021,6800,3,0.03,2.7,Bachelor's,4,3,No,18,69,Plovdiv,Yes
9127,Male,56,Retail Banking,Personal Banker,1/28/2014,4900,4,0.06,5,High School,1,10,No,8,70,Varna,Yes
1339,Male,27,Operations,Back Office Specialist,9/15/2018,10000,5,0.16,5,Master's,2,6,Yes,13,75,Burgas,Yes
1554,Female,25,Human Resources,Training Coordinator,10/13/2010,6800,3,0.12,2.8,Bachelor's,6,13,No,4,2,Ruse,No
7033,Male,22,Corporate Banking,Relationship Manager,3/26/2010,8600,2,0.28,2.6,High School,7,14,Yes,18,35,Sofia,No
6160,Female,28,Loan Servicing,Loan Servicing Specialist,4/30/2013,4900,2,0.47,1.7,Master's,9,11,No,18,52,Ruse,No
7657,Female,47,Marketing,Marketing Analyst,12/08/2010,9300,5,0.12,5,High School,3,13,Yes,8,74,Burgas,Yes
2901,Male,24,Collection,Debt Recovery Specialist,3/23/2010,4100,1,0.38,1.1,Bachelor's,9,14,No,3,46,Ruse,No
5294,Female,54,Mortgage Services,Mortgage Advisor,03/02/2020,8100,5,0.11,5,High School,3,4,No,4,59,Ruse,Yes
5787,Female,55,Customer Support,Customer Support Representative,5/26/2022,8700,3,0.06,2.8,Bachelor's,8,2,Yes,7,63,Varna,No
8291,Female,27,Product Management,Product Analyst,4/27/2010,7800,5,0.18,5,Master's,1,14,No,13,0,Ruse,Yes
7836,Female,54,Risk Management,Risk Officer,12/13/2016,5900,4,0.04,4.7,High School,2,7,Yes,5,24,Sofia,Yes
3813,Male,42,Back Office,Back Office Clerk,7/31/2019,6500,2,0.37,1.1,Bachelor's,4,5,No,4,14,Ruse,Yes
2332,Female,34,Marketing,Marketing Analyst,06/08/2014,9000,5,0.09,5,PhD,2,10,Yes,6,0,Varna,Yes
7210,Male,41,Mortgage Services,Mortgage Underwriter,02/06/2022,7900,5,0.01,5,Master's,1,2,Yes,13,10,Ruse,Yes
1881,Male,47,Digital Banking,Online Banking Manager,4/18/2024,7000,3,0.01,3.6,Bachelor's,4,0,Yes,1,47,Burgas,No
6811,Female,51,Finance,Tax Specialist,4/27/2021,4000,1,0.46,1.4,PhD,3,3,No,14,32,Varna,No
4205,Female,23,Trade Finance,Trade Finance Specialist,12/16/2020,8500,5,0.02,4.8,High School,2,3,No,1,15,Varna,Yes
4940,Female,25,Legal,Paralegal,4/13/2024,7400,5,0.15,5,PhD,1,0,Yes,1,44,Varna,Yes
2873,Female,38,Compliance,AML Officer,3/21/2016,6900,2,0.29,2.2,High School,5,8,No,14,22,Sofia,No
6667,Female,54,Corporate Banking,Financial Analyst,5/27/2023,7700,5,0.01,5,PhD,2,1,No,12,38,Ruse,No
4769,Male,37,Treasury,Liquidity Specialist,5/20/2022,7000,4,0.1,3.8,PhD,1,2,Yes,2,12,Varna,No
5934,Male,51,Internal Audit,Audit Manager,5/25/2024,4900,3,0.1,3.9,Master's,4,0,Yes,1,38,Plovdiv,Yes
8770,Male,52,Wealth Management,Portfolio Manager,01/11/2019,6200,2,0.32,1.9,Bachelor's,8,5,No,0,38,Varna,No
5313,Male,50,IT,IT Support,9/29/2013,7400,1,0.35,1,Master's,8,11,No,15,18,Plovdiv,No
1109,Male,46,Legal,Legal Advisor,10/19/2014,6800,5,0.11,5,High School,3,9,Yes,17,15,Plovdiv,Yes
1887,Female,55,Corporate Banking,Client Advisor,01/02/2011,5200,4,0.15,4.6,High School,3,13,Yes,2,78,Burgas,Yes
6089,Female,58,Risk Management,Risk Analyst,04/06/2012,4700,1,0.32,1,Bachelor's,2,12,No,6,6,Sofia,Yes
5606,Male,44,Digital Banking,Digital Banking Specialist,08/07/2014,6800,3,0.04,3.1,Bachelor's,2,10,Yes,13,41,Varna,No
3316,Male,45,Product Management,Product Manager,10/20/2018,4500,2,0.31,1.9,PhD,3,5,No,13,5,Ruse,No
8465,Male,32,Marketing,Communications Specialist,06/10/2010,4600,2,0.32,1.4,High School,1,14,Yes,15,47,Sofia,No
9136,Female,25,Marketing,Marketing Analyst,11/06/2020,8500,4,0.04,3.9,PhD,1,3,Yes,6,3,Ruse,Yes
2338,Female,35,Corporate Banking,Credit Analyst,7/30/2011,4000,1,0.25,1.1,Master's,4,13,No,15,29,Plovdiv,No
7634,Male,22,Customer Support,Technical Support Specialist,11/29/2016,4500,1,0.37,1.6,PhD,5,7,Yes,1,43,Ruse,No
8566,Male,34,Back Office,Administrative Assistant,05/05/2021,6600,4,0.15,4.5,PhD,2,3,Yes,11,19,Ruse,No
2607,Female,33,Marketing,Marketing Analyst,12/12/2019,5100,2,0.34,2.1,High School,4,4,Yes,4,59,Plovdiv,Yes
2916,Female,56,Retail Banking,Retail Sales Advisor,6/22/2011,6500,5,0.05,5,Bachelor's,3,13,No,4,73,Plovdiv,No
5953,Female,52,Fraud Prevention,Fraud Investigator,9/30/2011,4800,2,0.42,1.8,Bachelor's,8,13,No,4,1,Burgas,Yes
3126,Male,45,Finance,Accountant,11/14/2014,7200,2,0.22,2.1,Bachelor's,9,9,No,12,37,Sofia,Yes
1354,Female,34,Compliance,Compliance Analyst,03/09/2016,2500,1,0.4,1,Bachelor's,9,8,No,9,33,Sofia,No
1603,Male,31,Retail Banking,Retail Sales Advisor,8/20/2020,6800,4,0.09,3.5,PhD,3,4,Yes,15,73,Ruse,Yes
6629,Female,32,Business Transformation,Business Analyst,8/17/2013,5000,3,0.16,2.7,Bachelor's,6,11,No,10,41,Burgas,Yes
7142,Male,48,Internal Audit,Internal Auditor,11/06/2016,8700,5,0.18,4.4,Master's,1,7,Yes,2,45,Sofia,No
6865,Female,47,Risk Management,Compliance Officer,4/30/2011,7300,2,0.31,2.6,Bachelor's,5,13,Yes,16,42,Ruse,No
1732,Male,56,Customer Support,Customer Support Representative,05/08/2017,7200,4,0.08,4.1,Bachelor's,3,7,Yes,4,7,Burgas,No
4589,Female,26,Operations,Operations Manager,5/23/2013,3200,2,0.31,1.5,Master's,8,11,Yes,0,43,Varna,No
9993,Male,29,Digital Banking,Online Banking Manager,02/01/2018,4800,1,0.25,1,Master's,4,6,Yes,6,14,Sofia,Yes
5315,Female,47,Back Office,Back Office Clerk,05/10/2018,5300,4,0.14,4.1,High School,2,6,No,5,24,Burgas,Yes
1448,Male,51,Sales,Sales Consultant,05/11/2018,3600,5,0.05,5,PhD,3,6,No,2,63,Ruse,No
4271,Female,26,Business Transformation,Business Analyst,3/15/2013,5400,2,0.44,1.5,High School,4,11,No,17,56,Sofia,No
8817,Female,48,Risk Management,Regulatory Affairs Specialist,02/10/2022,5300,1,0.45,1,Bachelor's,5,2,No,4,26,Ruse,No
4768,Female,22,Internal Audit,Internal Auditor,01/01/2024,4900,1,0.24,1,High School,8,0,No,13,47,Sofia,Yes
9968,Female,43,Compliance,Data Privacy Specialist,10/13/2015,5600,3,0.12,2.5,Bachelor's,5,8,No,16,50,Sofia,Yes
4870,Male,25,Marketing,Marketing Manager,4/19/2013,8400,5,0.15,5,Master's,3,11,Yes,5,30,Plovdiv,Yes
6437,Male,48,Digital Banking,Digital Product Manager,09/01/2015,2700,1,0.47,1,Bachelor's,8,9,Yes,12,49,Plovdiv,No
1062,Female,50,Marketing,Communications Specialist,1/14/2021,7200,1,0.31,1,PhD,2,3,No,4,34,Sofia,No
6765,Male,53,Operations,Data Entry Clerk,1/14/2010,9200,4,0.08,3.1,Master's,2,14,No,13,26,Ruse,Yes
9222,Female,25,Legal,Legal Advisor,5/30/2010,4500,3,0.15,2.4,High School,6,14,No,2,23,Burgas,Yes
5022,Female,44,Security,Security Analyst,04/08/2021,8900,5,0.01,5,Bachelor's,1,3,Yes,1,57,Plovdiv,Yes
5661,Male,24,Security,Security Analyst,7/29/2012,3000,1,0.21,1,High School,8,12,No,10,63,Varna,No
7199,Female,53,Collection,Collection Manager,1/23/2019,6600,3,0.2,2.9,PhD,7,5,No,11,60,Varna,Yes
5748,Female,43,Business Transformation,Change Manager,07/07/2013,10500,5,0.16,4.9,Master's,1,11,No,12,20,Ruse,No
3537,Female,25,Corporate Banking,Corporate Finance Associate,07/12/2024,6100,4,0.05,2.9,Master's,3,0,Yes,10,55,Sofia,Yes
5958,Male,57,Mortgage Services,Mortgage Officer,10/02/2013,4000,2,0.36,2,High School,6,11,Yes,5,48,Plovdiv,Yes
8871,Female,32,Mortgage Services,Mortgage Underwriter,6/26/2020,2700,2,0.42,2.2,Bachelor's,1,4,No,15,44,Ruse,Yes
9709,Female,30,Operations,Back Office Specialist,11/09/2022,6900,3,0.19,2.6,Bachelor's,2,1,No,16,4,Burgas,No
1428,Female,31,Collection,Collection Manager,11/13/2021,4500,1,0.36,1.7,Bachelor's,8,2,No,6,71,Burgas,No
1940,Male,58,Collection,Debt Recovery Specialist,5/23/2022,7100,1,0.31,1,High School,6,2,No,4,36,Burgas,No
3241,Female,23,Corporate Banking,Account Manager,9/17/2020,7600,5,0.03,4.4,High School,1,4,Yes,17,21,Sofia,No
1130,Female,48,Business Transformation,Business Analyst,2/13/2011,5800,4,0.15,4.3,Bachelor's,2,13,Yes,4,64,Burgas,Yes
9518,Male,45,Legal,Legal Advisor,12/02/2016,4700,2,0.27,2.2,Master's,7,7,No,19,47,Varna,No
8807,Male,38,Marketing,Marketing Manager,7/14/2014,9300,5,0.19,4.4,Master's,1,10,Yes,11,63,Plovdiv,Yes
7028,Male,29,Retail Banking,Retail Sales Advisor,12/21/2023,7500,3,0.06,3.6,Bachelor's,2,0,Yes,18,19,Ruse,No
6880,Male,39,Security,Cybersecurity Specialist,1/19/2018,7100,3,0.16,3.4,Bachelor's,2,6,Yes,14,16,Ruse,Yes
3891,Female,28,Risk Management,Regulatory Affairs Specialist,06/04/2024,6800,3,0.04,3.4,Master's,8,0,No,13,45,Plovdiv,No
6562,Female,28,Human Resources,HR Manager,10/16/2014,6800,4,0.08,3.9,PhD,3,9,Yes,18,31,Plovdiv,Yes
1734,Female,59,Corporate Banking,Financial Analyst,3/24/2020,3000,1,0.23,1.5,Master's,2,4,Yes,7,34,Ruse,Yes
3942,Female,36,Internal Audit,Audit Manager,10/18/2013,3900,1,0.36,1,High School,9,10,Yes,15,3,Burgas,No
7450,Male,23,Internal Audit,Audit Manager,10/14/2022,5700,4,0.09,3.9,High School,1,1,Yes,8,39,Varna,Yes
5432,Male,53,Sales,Sales Consultant,07/04/2010,4800,1,0.32,1.2,High School,8,14,No,19,44,Sofia,Yes
1875,Female,36,Fraud Prevention,Fraud Investigator,1/14/2015,5300,4,0.16,4.2,Master's,3,9,Yes,2,61,Plovdiv,Yes
5559,Male,32,Fraud Prevention,Fraud Prevention Manager,1/25/2012,5400,2,0.45,1.1,High School,7,12,No,18,26,Burgas,No
